Nama Depan,Nama Belakang,Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person
Husin,Yohan ,Husin@gmailx.com,Subulussalam,21-9-2017,KP0925SG,36466,5,4,JENT,Y,Qg-101
ari ,Nugraha,Nugraha@ymailx.com,Mataram,18-9-2017,KP0925SG,35861,10 buah,N/A,JENT,Y,Nm-183
Pudjiastuti,fatina,Pudjiastuti@mex.com,Tebingtinggi,18-9-2017,KP0050AG,35802,3,5,Pru Logistic,N,Fg-662
romo ,Januarti,Romo@ymailx.com,Balikpapan,17-9-2017,KP0150BH,35006,7 buah,4,JENT,N,Ic-993
Herumanlo,Sjah,Herumanlo@ymailx.com,Bekasi,17-9-2017,KP0225BB,36472,3,4,Wakanda Express,Y,Kh-409
Elly ,Gunawan,Elly@ymailx.com,Serang,13-9-2017,KP0625AF,35740,9 buah,5,Wakanda Express,Y,Ik-500
suharman ,Ida ,Suharman@livex.com,Pontianak,13-9-2017,KP0625AF,36258,9 buah,N/A,JENT,N,Ce-880
fan ,Soetemo,Fan@outlookx.com,Madiun,9-10-2017,KP0750AJ,35008,6 buah,3,Swift Delivery,Y,Cd-123
Kitty ,Hadi,Kitty@gmailx.com,Bukittinggi,9-9-2017,KP0925SG,36676,6 buah,4,JENT,Y,Br-559
James,Gunawan,James@ymailx.com,Langsa,9-9-2017,KP0225BB,36326,3,N/A,JENT,Y,Hd-101
Ima,Wiriadinata,WIRIADINATA@ymailx.com,Cilegon,9-8-2017,KP0850FB,36010,6,N/A,JENT,Y,Fp-500
Pradeep,Wirawan,Wirawan@rocketmailx.com,Mataram,9-6-2017,KP0850FB,35247,3,N/A,Wakanda Express,N,Wh-183
Hermani ,Ravi,Ravi@ymailx.com,Pasuruan,9-5-2017,KP0225BB,36454,8 buah,N/A,Cepat Kirim,Y,Fl-123
robin ,Rochimat,"Robin@gmailx.com,",Padang,9-3-2017,KP0150BH,35714,7 buah,4,Swift Delivery,N,Eg-559
liem ,Hamzah ,Liem@ymailx.com,Padang Sidempuan,9-2-2017,KP0350CF,36145,3 buah,N/A,JENT,Y,Tr-662
Ahmad,Usman,Ahmad@ymailx.com,Malang,9-2-2017,KP0925SG,36721,2,N/A,Wakanda Express,Y,Ng-123
Elline,Mckay,Elline@outlookx.com,Cirebon,9-2-2017,KP0625AF,36942,2,4,Swift Delivery,Y,Gg-409
Jan,Ferdinand,Ferdinand@gmailx.com,Binjai,9-2-2017,KP0625AF,35870,3,5,JENT,Y,Au-662
Devin,victoria,Victoria@gmailx.com,Langsa,9-2-2017,KP0925SG,35687,6,N/A,Wakanda Express,Y,Bg-101
Razief,abelarde,Abelarde@livex.com,Meulaboh,9-1-2017,KP0225BB,35596,8,N/A,Pru Logistic,N,Ed-101
Antonius,Azhari,Azhari@ymailx.com,Banda Aceh,28-8-2017,KP0850FB,35127,9,5,Pru Logistic,Y,Ok-101
Alan,tioniwar,Tioniwar@livex.com,Samarinda,28-8-2017,KP0350CF,36844,2,4,Wakanda Express,Y,Ps-993
Madampath ,Arief,Madampath@icloudx.com,Yogyakarta,26-8-2017,KP0625AF,35485,10 buah,4,Pru Logistic,Y,Aq-444
Roger,Suliawan,"Roger@ymailx.com,",Jakarta Pusat,25-8-2017,KP0425CB,35371,6,4,Cepat Kirim,N,Bj-333
Elsa,mogi,Elsa@livex.com,Tanjungbalai,24-8-2017,KP0625AF,36790,4,2,Pru Logistic,Y,Wi-662
Budijuwono,prasetyo,"BUDIJUWONO@livex.com,",Padang,22-8-2017,KP0750AJ,35887,2,N/A,Swift Delivery,Y,Tn-559
peter ,Equity,EQUITY@outlookx.com,Jakarta Timur,19-8-2017,KP0625AF,35517,4 buah,N/A,Swift Delivery,N,Xh-333
Philip,Perkantoran,PHILIP@livex.com,Tual,19-8-2017,KP0425CB,36832,3,4,Pru Logistic,N,Rn-171
Ferry,ramchand,Ferry@gmailx.com,Tanjungbalai,19-8-2017,KP0625AF,35899,9,3,Cepat Kirim,Y,Eh-662
Vivian,Kent,Kent@icloudx.com,Tanjungbalai,19-8-2017,KP0350CF,36235,8 buah,4,#N/A,N,Qa-662
Kompleks,Rusming,Kompleks@ymailx.com,Depok,17-8-2017,KP0850FB,35448,6,N/A,Wakanda Express,Y,Zr-409
sugun ,Donald,Sugun@mex.com,Bontang,16-8-2017,KP0425CB,36320,5 buah,N/A,Wakanda Express,N,Jc-993
Reimer,Rahman,Reimer@ymailx.com,Pariaman,16-8-2017,KP0350CF,36546,2,N/A,Cepat Kirim,N,Fm-559
Danny,Budhi,Budhi@ymailx.com,Makassar,14-8-2017,KP0850FB,35633,9,4,JENT,Y,Rx-290
aminoto ,Siswanto,Siswanto@ymailx.com,Metro,8-10-2017,KP0350CF,35250,4 buah,N/A,JENT,Y,Ec-150
Sacheen,Aminah,Aminah@mex.com,Palopo,8-9-2017,KP0350CF,35209,9,N/A,Cepat Kirim,N,Ov-290
Henry,Limardo ,HENRY@gmailx.com,Ternate,8-9-2017,KP0150BH,36550,4,N/A,JENT,Y,Fh-160
indra ,Kentjanawati,"Kentjanawati@gmailx.com,",Subulussalam,8-8-2017,KP0225BB,36617,4 buah,4,Swift Delivery,Y,Xj-101
Jamin,Gelael,Gelael@gmailx.com,Pekanbaru,8-7-2017,KP0750AJ,36389,5,3,Wakanda Express,Y,Lp-222
Fas,pramudyo,Pramudyo@icloudx.com,Kediri,8-7-2017,KP0625AF,36008,5,N/A,Wakanda Express,Y,Qs-123
Angus ,Kadarachman,Kadarachman@livex.com,Sorong,8-6-2017,KP0350CF,35335,9 buah,N/A,Wakanda Express,Y,Vv-999
Andy,Sulistyorini,Sulistyorini@gmailx.com,Palangkaraya,8-6-2017,KP0750AJ,35882,8,N/A,Swift Delivery,Y,Ml-992
Stephen,"Subrata,",Stephen@rocketmailx.com,Lhokseumawe,8-4-2017,KP0750AJ,35416,2,4,Wakanda Express,N,Wv-101
Anton,aksa,"Anton@ymailx.com,",Solok,8-4-2017,KP0850FB,36775,10,3,Cepat Kirim,Y,Lb-559
kusnadi ,Xaverius ,Kusnadi@gmailx.com,Langsa,8-3-2017,KP0850FB,36179,8 buah,N/A,JENT,Y,Co-101
Djauhara,tjandra,Djauhara@gmailx.com,Palembang,8-2-2017,KP0225BB,36076,8,3,Cepat Kirim,Y,Gb-661
Eko ,Soat,Eko@icloudx.com,Tasikmalaya,8-1-2017,KP0850FB,35725,9 buah,N/A,Cepat Kirim,Y,Th-409
kaizer ,Subianto,Kaizer@gmailx.com,Manado,28-7-2017,KP0750AJ,35742,9 buah,N/A,Swift Delivery,Y,Nq-221
Richard,padilla,"Padilla@gmailx.com,",Pontianak,28-7-2017,KP0925SG,35239,7,N/A,Cepat Kirim,N,La-880
Djoni,kusumawati ,Djoni@ymailx.com,Bogor,26-7-2017,KP0925SG,35080,10,N/A,JENT,Y,Js-409
herry ,Soegiarto,Soegiarto@gmailx.com,Metro,25-7-2017,KP0625AF,36065,5 buah,4,Wakanda Express,Y,Pv-150
beata ,Sumartono,Sumartono@icloudx.com,Palu,22-7-2017,KP0350CF,36707,6 buah,N/A,Wakanda Express,Y,Hy-280
Alex,ganasutrisna,Alex@livex.com,Serang,22-7-2017,KP0850FB,35193,9,N/A,Pru Logistic,Y,Qm-500
Nelson,Kuchenbecker ,Kuchenbecker@livex.com,Madiun,21-7-2017,KP0850FB,35761,2,N/A,JENT,N,Xe-123
meslin ,Leitch ,MESLIN@gmailx.com,Pariaman,20-7-2017,KP0625AF,35997,6 buah,N/A,JENT,Y,Jc-559
Elisabeth,Djohari ,Elisabeth@ymailx.com,Depok,20-7-2017,KP0625AF,35868,4,N/A,JENT,Y,Dw-409
hari ,Mulyono,Mulyono@ymailx.com,Bandung,17-7-2017,KP0625AF,35605,8 buah,4,JENT,Y,Lf-409
chu ,Tirtaguna,Tirtaguna@ymailx.com,Dumai,15-7-2017,KP0925SG,36215,7 buah,4,JENT,Y,Er-222
iwan ,Alamsjah,Alamsjah@gmailx.com,Palembang,14-7-2017,KP0925SG,35382,3 buah,N/A,Wakanda Express,Y,Bw-661
Stephen,Effendi,Stephen@gmailx.com,Lubuklinggau,7-9-2017,KP0925SG,35477,9,N/A,Cepat Kirim,N,Tl-661
Arie,sutandy,Arie@ymailx.com,Palopo,7-9-2017,KP0925SG,36099,2,4,Swift Delivery,Y,Db-290
"Raymond,",Angkosubroto,"Raymond,@mex.com,",Padangpanjang,7-5-2017,KP0625AF,36407,8,N/A,Cepat Kirim,N,Cy-559
Rudy,Na,Na@livex.com,Sabang,7-5-2017,KP0150BH,35309,6,N/A,Swift Delivery,N,Aq-101
Anuj,Kusumawati,Anuj@livex.com,Makassar,7-4-2017,KP0850FB,35847,9,N/A,JENT,Y,Jd-290
Angus ,Sik,Sik@ymailx.com,Magelang,7-3-2017,KP0350CF,36564,6 buah,N/A,Pru Logistic,Y,Vi-410
Arman,Maya,"Arman@livex.com,",Tebingtinggi,7-3-2017,KP0350CF,36111,2,N/A,Cepat Kirim,Y,Zj-662
Gahet,Frederik,Gahet@outlookx.com,Padang,7-1-2017,KP0150BH,36193,6,N/A,Wakanda Express,Y,Ne-559
Grant,Sutantyo,Grant@ymailx.com,Surakarta,27-6-2017,KP0925SG,35992,8,2,Pru Logistic,Y,Ji-410
Gita,group,"GITA@ymailx.com,",Lubuklinggau,25-6-2017,KP0625AF,35961,5,N/A,Swift Delivery,Y,Dv-661
Victor,Luhur,Luhur@icloudx.com,Magelang,25-6-2017,KP0150BH,35480,6 buah,4,#N/A,N,rm-410
Armedta,Christina,Christina@livex.com,Denpasar,24-6-2017,KP0350CF,35175,5,N/A,Wakanda Express,Y,ve-201
Henny,Oen ,Henny@gmailx.com,Tarakan,22-6-2017,KP0425CB,36028,7,N/A,JENT,Y,cf-994
Radisha,Tjen,Radisha@gmailx.com,Cirebon,21-6-2017,KP0625AF,36447,4,N/A,Cepat Kirim,N,jp-409
Lukman,Adelberd,"Lukman@gmailx.com,",Medan,21-6-2017,KP0925SG,35798,10,N/A,Cepat Kirim,Y,ke-662
Mohamad,ivan,Ivan@rocketmailx.com,Surabaya,20-6-2017,KP0625AF,36647,8,4,Wakanda Express,Y,we-123
Andre,leebrianto,Andre@gmailx.com,Metro,19-6-2017,KP0150BH,35574,2,N/A,JENT,Y,ti-150
raymond ,David ,David@rocketmailx.com,Binjai,18-6-2017,KP0050AG,35915,2 buah,N/A,JENT,N,cf-662
suhadi ,Muliadi,Muliadi@icloudx.com,Banda Aceh,17-6-2017,KP0750AJ,35776,2 buah,2,JENT,N,ry-101
Lim,Setiono,Lim@gmailx.com,Solok,17-6-2017,KP0425CB,36802,2,N/A,Swift Delivery,Y,gt-559
Jyoti,Wijaya ,Wijaya@gmailx.com,Cimahi,16-6-2017,KP0850FB,36849,7,4,JENT,Y,ns-409
jusuf ,Riupassa,"Jusuf@ymailx.com,",Denpasar,15-6-2017,KP0625AF,36465,2 buah,N/A,Cepat Kirim,Y,ov-201
sufan ,Podiman,Sufan@gmailx.com,Jakarta Selatan,13-6-2017,KP0850FB,36388,3 buah,N/A,JENT,N,nq-333
aling ,Naiborhu ,Aling@ymailx.com,Manado,6-12-2017,KP0750AJ,35484,7 buah,3,JENT,Y,ya-221
Agus ,Lianawati,"Agus@gmailx.com,",Pasuruan,6-11-2017,KP0150BH,35639,9 buah,4,Swift Delivery,Y,pg-123
Gunardi,lakmudin ,Lakmudin@ymailx.com,Bogor,6-11-2017,KP0425CB,35102,8,N/A,JENT,Y,ll-409
Hosea,Dewi,Dewi@ymailx.com,Malang,6-10-2017,KP0050AG,36053,9,N/A,Cepat Kirim,Y,jm-123
Poppy,Darmadi ,Poppy@ymailx.com,Banjarmasin,6-7-2017,KP0350CF,36533,5,N/A,JENT,N,zy-991
Lina ,Putra,LINA@icloudx.com,Lubuklinggau,6-6-2017,KP0350CF,36346,3 buah,4,JENT,Y,co-661
Edwin ,Tunggul,Tunggul@ymailx.com,Sorong,6-6-2017,KP0150BH,35535,9 buah,N/A,Swift Delivery,Y,rq-999
mary ,Sidharta,Sidharta@outlookx.com,Malang,6-5-2017,KP0350CF,35580,10 buah,N/A,Pru Logistic,Y,pe-123
Herman,Noorsy ,Herman@gmailx.com,Palopo,6-4-2017,KP0625AF,36762,7,N/A,JENT,Y,qu-290
Mohamad,Susilo,Susilo@ymailx.com,Medan,6-3-2017,KP0850FB,36313,5,5,JENT,Y,an-662
Bobby,Handri,Handri@outlookx.com,Payakumbuh,6-3-2017,KP0850FB,35343,7,3,JENT,Y,oz-559
Liem,budijarto,Liem@rocketmailx.com,Palopo,6-3-2017,KP0225BB,36405,4,N/A,Cepat Kirim,Y,zz-290
Oetie ,Abujono,Oetie@rocketmailx.com,Banjarbaru,6-2-2017,KP0225BB,36282,5 buah,4,Swift Delivery,N,uk-991
Lim ,Hardono ,"Hardono@livex.com,",Banda Aceh,6-1-2017,KP0850FB,36488,8 buah,N/A,JENT,Y,mr-101
adri ,Suitono,Suitono@ymailx.com,Cilegon,6-1-2017,KP0150BH,36285,2 buah,N/A,Wakanda Express,Y,yo-500
Abdullah,Alatas ,Alatas@ymailx.com,Surakarta,6-1-2017,KP0750AJ,35060,2,4,JENT,Y,qh-410
Eunice,wiyono ,Eunice@outlookx.com,Madiun,28-5-2017,KP0350CF,36604,3,5,JENT,Y,wt-123
danny ,Basuki,"Danny@ymailx.com,",Jambi,27-5-2017,KP0625AF,35875,8 buah,N/A,Swift Delivery,Y,qa-512
Hendra,Jimmy,Jimmy@gmailx.com,Medan,27-5-2017,KP0850FB,35726,5,N/A,Swift Delivery,Y,yk-662
hanson ,Wargana,"Wargana@gmailx.com,",Prabumulih,26-5-2017,KP0625AF,36095,4 buah,4,Swift Delivery,Y,xp-661
adelina ,Bowden,BOWDEN@gmailx.com,Cirebon,26-5-2017,KP0750AJ,36987,5 buah,1,Swift Delivery,Y,ft-409
Doreen,Kong,Kong@livex.com,Palembang,26-5-2017,KP0750AJ,35153,3,4,JENT,Y,np-661
Petrus,Hugh,Hugh@livex.com,Bandung,25-5-2017,KP0925SG,36187,4,4,Pru Logistic,N,en-409
Beatrice ,Tedjajadi,Tedjajadi@gmailx.com,Blitar,24-5-2017,KP0150BH,36342,6 buah,N/A,JENT,Y,wn-123
dina ,Limited,"Dina@icloudx.com,",Solok,24-5-2017,KP0350CF,36090,9 buah,3,Swift Delivery,Y,je-559
Fonny,irawan ,Fonny@livex.com,Pekalongan,22-5-2017,KP0850FB,36561,5,N/A,JENT,Y,zp-410
Christian,Supardi,"Supardi@icloudx.com,",Banda Aceh,21-5-2017,KP0350CF,36104,4,N/A,Cepat Kirim,Y,jz-101
Maiko ,Endi,Endi@icloudx.com,Makassar,20-5-2017,KP0750AJ,36220,2 buah,4,Swift Delivery,Y,qx-290
Nazarudin,anggraini ,Nazarudin@mex.com,Padang,18-5-2017,KP0150BH,35296,4,N/A,JENT,N,nd-559
emily ,Risjad ,Risjad@livex.com,Cilegon,17-5-2017,KP0225BB,36685,8 buah,4,JENT,Y,qt-500
Christanto,Soetoyo,Christanto@icloudx.com,Kupang,17-5-2017,KP0850FB,36156,5,N/A,JENT,Y,ke-185
ng ,Siswadi,Ng@gmailx.com,Banjarbaru,13-5-2017,KP0925SG,36307,2 buah,4,Swift Delivery,N,jo-991
Anthony,Basuki ,Anthony@livex.com,Magelang,13-5-2017,KP0850FB,36050,6,N/A,JENT,Y,ty-410
Mulyadi ,Hasyim,Mulyadi@rocketmailx.com,Metro,5-12-2017,KP0225BB,35364,9 buah,N/A,JENT,N,rz-150
Ledres,Wibowo ,LEDRES@icloudx.com,Singkawang,5-12-2017,KP0625AF,36480,5,N/A,JENT,Y,yu-880
Meigawaty,Abdul,Meigawaty@livex.com,Singkawang,5-11-2017,KP0225BB,35499,8,4,Cepat Kirim,Y,va-880
Peter,kiu,Kiu@rocketmailx.com,Tangerang,5-11-2017,KP0225BB,36396,7,N/A,Wakanda Express,N,zi-500
Jusuf,ciputra,Ciputra@ymailx.com,Padangpanjang,5-10-2017,KP0225BB,36656,9,3,Swift Delivery,Y,th-559
prakash ,Johan,Johan@icloudx.com,Jakarta Selatan,5-9-2017,KP0150BH,35968,10 buah,5,Wakanda Express,N,fr-333
Arwan,Tumengkol,Arwan@livex.com,Lubuklinggau,5-9-2017,KP0050AG,35196,7,N/A,Cepat Kirim,Y,yn-661
Soendari ,Jonas,Soendari@gmailx.com,Bau-Bau,5-8-2017,KP0225BB,35119,4 buah,N/A,JENT,N,tw-250
Steven,Karjanto,"Steven@icloudx.com,",Ternate,5-8-2017,KP0750AJ,35177,4,4,Swift Delivery,N,ti-160
budi ,Mohtar,Budi@livex.com,Tanjungbalai,5-6-2017,KP0750AJ,36445,6 buah,N/A,Cepat Kirim,Y,sv-662
Kurniawan,Djauhari,"Kurniawan@ymailx.com,",Banjarbaru,5-6-2017,KP0150BH,36929,8,N/A,Cepat Kirim,Y,jk-991
Albert,josef,JOSEF@ymailx.com,Bima,5-5-2017,KP0425CB,35348,8,N/A,JENT,Y,fm-183
junita ,Lim,Lim@ymailx.com,Bandar Lampung,5-4-2017,KP0425CB,35509,4 buah,4,JENT,Y,wf-150
gan ,Soeprapto,Gan@icloudx.com,Padangpanjang,5-4-2017,KP0150BH,35497,2 buah,N/A,JENT,Y,cz-559
Agus,Saleem,Saleem@ymailx.com,Madiun,5-4-2017,KP0750AJ,36784,5,4,Cepat Kirim,Y,jv-123
Elmursil,Nyoman,"Elmursil@livex.com,",Bukittinggi,5-4-2017,KP0625AF,35122,4,4,Swift Delivery,Y,zt-559
subianto ,Legiman,Legiman@outlookx.com,Jakarta Selatan,5-1-2017,KP0750AJ,36130,10 buah,4,JENT,N,em-333
Johannes,Gunawan,Johannes@gmailx.com,Surakarta,5-1-2017,KP0850FB,35888,9,N/A,JENT,Y,bn-410
Eddy ,Robert,Robert@livex.com,Pekalongan,28-4-2017,KP0850FB,35431,9 buah,N/A,Pru Logistic,Y,qu-410
Rizal ,Fadjar,Rizal@rocketmailx.com,Padangpanjang,28-4-2017,KP0750AJ,35775,6 buah,4,Wakanda Express,N,va-559
liliana ,Mogi,Liliana@icloudx.com,Malang,27-4-2017,KP0350CF,35951,7 buah,N/A,Swift Delivery,Y,ys-123
Pradeep ,Sinto,Sinto@livex.com,Pagaralam,26-4-2017,KP0750AJ,35366,9 buah,N/A,JENT,N,di-661
Maria,Diana,Diana@icloudx.com,Sibolga,25-4-2017,KP0050AG,36504,7,5,Cepat Kirim,Y,gk-662
Daniel,international,International@livex.com,Jakarta Barat,25-4-2017,KP0925SG,36138,7,N/A,JENT,Y,sx-333
lim ,Sik,Sik@mex.com,Kediri,24-4-2017,KP0050AG,36683,6 buah,4,Wakanda Express,Y,aj-123
Safarina,rossi,Rossi@icloudx.com,Langsa,24-4-2017,KP0150BH,35919,9,N/A,Swift Delivery,N,yp-101
Linda,Darmamulia,Darmamulia@livex.com,Tasikmalaya,22-4-2017,KP0850FB,35001,8,4,JENT,Y,uj-409
Hendro,Rianti,Hendro@ymailx.com,Tomohon,20-4-2017,KP0925SG,36801,10,N/A,JENT,Y,ai-221
Djan,Yoesgiantoro,Yoesgiantoro@outlookx.com,Jayapura,16-4-2017,KP0750AJ,35672,9,2,Pru Logistic,Y,mo-990
I.,Kusuma,Kusuma@ymailx.com,Padangpanjang,14-4-2017,KP0850FB,36055,4,4,Cepat Kirim,Y,pm-559
Kaman,Adam,Kaman@ymailx.com,Payakumbuh,4-12-2017,KP0625AF,35476,8,4,JENT,Y,yh-559
Nani,Sungkoro,Nani@mex.com,Kediri,4-11-2017,KP0850FB,35964,7,4,Cepat Kirim,N,se-123
Sonya,Koes,Koes@rocketmailx.com,Pontianak,4-11-2017,KP0350CF,35361,7,4,JENT,N,qr-880
Eddy,nugroho,Eddy@outlookx.com,Jakarta Timur,4-10-2017,KP0350CF,36086,7,4,Wakanda Express,Y,to-333
Darmadi,Carl,Carl@ymailx.com,Bitung,4-8-2017,KP0625AF,35475,4,4,Swift Delivery,Y,iu-221
American,rachman,American@gmailx.com,Ternate,4-7-2017,KP0750AJ,36491,10,2,Swift Delivery,Y,pb-160
Meridian,Winata,Meridian@ymailx.com,Lubuklinggau,4-4-2017,KP0750AJ,35437,6,2,Swift Delivery,Y,zf-661
Fifi,yangrikho,FIFI@outlookx.com,Jambi,4-4-2017,KP0625AF,36969,9,5,Swift Delivery,Y,on-512
Adhi ,Endranto,Adhi@gmailx.com,Mataram,4-3-2017,KP0425CB,36170,10 buah,N/A,JENT,Y,ku-183
inayat ,Sugiono,Sugiono@ymailx.com,Gorontalo,4-3-2017,KP0050AG,36985,2 buah,N/A,JENT,Y,yl-983
Diana,Ramchand ,Ramchand@outlookx.com,Jayapura,4-3-2017,KP0925SG,35091,6,4,JENT,Y,gj-990
ateng ,C.,Ateng@ymailx.com,Kediri,4-2-2017,KP0925SG,35491,4 buah,N/A,JENT,Y,bs-123
Go,Sampoerna ,Sampoerna@gmailx.com,Meulaboh,4-1-2017,KP0925SG,36414,2,N/A,JENT,Y,yt-101
Boediyanio,Syafriel,Boediyanio@gmailx.com,Cimahi,28-3-2017,KP0750AJ,36677,4,5,Pru Logistic,Y,rw-409
Anita,ferdinandus,Anita@livex.com,Mataram,23-3-2017,KP0850FB,36797,5,N/A,Wakanda Express,Y,xe-183
lam ,Hartono ,Lam@rocketmailx.com,Palangkaraya,22-3-2017,KP0925SG,35067,5 buah,4,JENT,Y,sw-992
shuzy ,Wiyono ,Shuzy@rocketmailx.com,Medan,20-3-2017,KP0850FB,35429,6 buah,N/A,JENT,N,fw-662
dino ,Pudjiwati,Dino@gmailx.com,Pekalongan,20-3-2017,KP0750AJ,36556,4 buah,N/A,Swift Delivery,Y,ls-410
pujiastuti ,Indra ,Pujiastuti@mex.com,Semarang,17-3-2017,KP0625AF,36196,10 buah,N/A,JENT,N,zy-410
Nestor,jen,Nestor@ymailx.com,Jakarta Pusat,17-3-2017,KP0750AJ,35881,5,N/A,JENT,N,vh-333
Pandji,Tanoto,Tanoto@livex.com,Padang,16-3-2017,KP0625AF,36101,9,N/A,Wakanda Express,N,vg-559
Kang,Ashari,"Kang@gmailx.com,",Makassar,14-3-2017,KP0850FB,36565,5,N/A,Cepat Kirim,Y,rh-290
Singgih,widagdo,Widagdo@mex.com,Batam,14-3-2017,KP0850FB,35909,9,3,Wakanda Express,N,hl-809
Elisabet,Budisusetyo,Budisusetyo@icloudx.com,Malang,3-11-2017,KP0150BH,36592,8,1,Wakanda Express,Y,nz-123
shinta ,Winarko ,Shinta@rocketmailx.com,Palopo,3-9-2017,KP0425CB,36198,7 buah,1,JENT,N,go-290
Rachmat,Yanuar,Yanuar@mex.com,Bontang,3-9-2017,KP0925SG,35917,6,N/A,Pru Logistic,N,io-993
gan ,Tijoso ,Tijoso@ymailx.com,Balikpapan,3-8-2017,KP0750AJ,35077,2 buah,4,JENT,Y,gt-993
Henry,tjahaja,Tjahaja@ymailx.com,Palu,3-8-2017,KP0150BH,35407,8,5,Wakanda Express,Y,im-280
Boelio,Ramli,Boelio@icloudx.com,Bogor,3-7-2017,KP0625AF,35243,5,4,Pru Logistic,Y,ur-409
Crescento,Latief,Latief@gmailx.com,Tasikmalaya,3-6-2017,KP0625AF,35455,4,N/A,JENT,Y,it-409
Go,Budiman,Budiman@gmailx.com,Bau-Bau,3-4-2017,KP0625AF,36599,8,N/A,Pru Logistic,Y,wy-250
indrajaty ,Sandjojo,Sandjojo@ymailx.com,Purwokerto,3-2-2017,KP0350CF,36893,10 buah,5,Cepat Kirim,Y,zz-410
Kirk,harsono ,Harsono@gmailx.com,Tomohon,26-2-2017,KP0750AJ,36709,9,N/A,JENT,Y,ge-221
aji ,Wikarsa,"Wikarsa@ymailx.com,",Bukittinggi,23-2-2017,KP0350CF,36609,2 buah,2,Swift Delivery,Y,fm-559
suarmin ,Chowdhry,Suarmin@icloudx.com,Serang,22-2-2017,KP0225BB,35840,2 buah,N/A,JENT,N,ih-500
Evie,Wijaya,Evie@icloudx.com,Yogyakarta,22-2-2017,KP0750AJ,35454,10,4,JENT,Y,ii-444
k.p. ,Sri ,K.P.@ymailx.com,Sibolga,21-2-2017,KP0925SG,36474,2 buah,N/A,JENT,Y,gk-662
christiana ,Hermanto,Hermanto@ymailx.com,Padangpanjang,20-2-2017,KP0850FB,35681,10 buah,2,Swift Delivery,Y,rc-559
Jovanka,Kurniadi,Kurniadi@ymailx.com,Bengkulu,20-2-2017,KP0750AJ,36729,9,N/A,Pru Logistic,Y,gu-300
Ishak,sim ,Ishak@ymailx.com,Pekalongan,18-2-2017,KP0850FB,36774,4,3,JENT,Y,eb-410
jap ,Gunawan,"Jap@gmailx.com,",Pariaman,15-2-2017,KP0850FB,35358,4 buah,N/A,Cepat Kirim,Y,qp-559
Handaja,Latief,Handaja@gmailx.com,Padangpanjang,14-2-2017,KP0750AJ,35752,7,N/A,Wakanda Express,Y,gb-559
Niniek,Tanojo,Tanojo@icloudx.com,Purwokerto,13-2-2017,KP0625AF,36524,8,4,Swift Delivery,N,hb-410
Irwan,hartono,Irwan@ymailx.com,Batu,13-2-2017,KP0150BH,36366,9,N/A,Wakanda Express,Y,pc-123
Eko,Gozali,Gozali@livex.com,Tebingtinggi,2-11-2017,KP0225BB,35300,8,5,Wakanda Express,Y,oz-662
arifin ,Susila,Arifin@ymailx.com,Jakarta Barat,2-9-2017,KP0750AJ,36634,2 buah,N/A,Pru Logistic,Y,sd-333
Achmad,Vishamkar ,Vishamkar@gmailx.com,Jakarta Pusat,2-9-2017,KP0625AF,36869,9,N/A,JENT,Y,vo-333
Harmiono,rita,Harmiono@gmailx.com,Jakarta Selatan,2-9-2017,KP0925SG,36387,3,N/A,Pru Logistic,Y,bg-333
G.,Pudji ,Pudji@gmailx.com,Purwokerto,2-8-2017,KP0150BH,35125,10,5,JENT,Y,at-410
Michael,basoeki,MICHAEL@outlookx.com,Tebingtinggi,2-8-2017,KP0850FB,35669,4,N/A,JENT,Y,mz-662
Michael,Kian,Kian@outlookx.com,Sungai Penuh,2-4-2017,KP0625AF,36229,10,N/A,JENT,Y,uz-512
Soeparman,group,"Group@livex.com,",Jakarta Utara,2-4-2017,KP0850FB,36713,8,2,Cepat Kirim,N,dm-333
hiswara ,Taira,Hiswara@ymailx.com,Purwokerto,2-3-2017,KP0625AF,35929,9 buah,4,JENT,Y,xm-410
Citrawinda,"alicia,","Alicia,@outlookx.com",Bekasi,2-1-2017,KP0425CB,35603,9,5,Swift Delivery,Y,xa-409
Jahjaa,wiriawan,"Jahjaa@gmailx.com,",Bitung,2-1-2017,KP0750AJ,35222,2,N/A,Cepat Kirim,Y,wz-221
Ferdinand,mirza ,Mirza@ymailx.com,Tasikmalaya,26-1-2017,KP0850FB,35321,9,5,JENT,Y,tg-409
Netcorp ,Yohan,Yohan@icloudx.com,Cirebon,24-1-2017,KP0925SG,35469,6 buah,4,JENT,N,vr-409
Johannes,yoshawirja,"Johannes@gmailx.com,",Salatiga,23-1-2017,KP0225BB,35055,8,N/A,Swift Delivery,Y,xq-410
Agus,K.,Agus@livex.com,Prabumulih,22-1-2017,KP0850FB,36458,8,N/A,Wakanda Express,Y,yw-661
rudy ,Pinder,Pinder@outlookx.com,Cilegon,21-1-2017,KP0625AF,36786,3 buah,4,Pru Logistic,N,ei-500
Christian,Lay ,Lay@ymailx.com,Tanjungpinang,21-1-2017,KP0850FB,36146,2,N/A,JENT,Y,xu-809
Soekrisman,Ismulyatie ,Ismulyatie@icloudx.com,Tarakan,21-1-2017,KP0850FB,35986,5,N/A,JENT,N,vn-994
Payal,Harjani,Payal@livex.com,Kediri,21-1-2017,KP0150BH,36822,10,N/A,Wakanda Express,N,gk-123
